artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
The Weeknd,canadian contemporary r&b,2016,0,0,0,0,14,1,7,1,84,negative
Justin Bieber,canadian pop,2016,0,0,0,0,28,1,84,1,83,positive
DNCE,dance pop,2016,0,1,1,1,4,0,15,1,81,positive
The Chainsmokers,electropop,2016,1,1,0,1,14,0,16,1,81,negative
Martin Garrix,big room,2016,1,0,0,0,45,0,11,0,81,negative
Ariana Grande,dance pop,2016,0,0,0,0,14,1,2,1,80,negative
Calvin Harris,dance pop,2016,1,1,0,1,15,1,20,0,80,negative
Lady Gaga,dance pop,2016,1,0,1,0,11,0,49,0,80,negative
Rihanna,barbadian pop,2016,0,0,1,0,8,0,11,1,80,negative
Lukas Graham,danish pop,2016,1,0,1,0,39,1,29,1,80,negative
Justin Timberlake,dance pop,2016,0,1,1,0,19,1,1,1,79,positive
Fifth Harmony,dance pop,2016,0,0,1,0,6,0,10,0,79,positive
Alessia Cara,canadian contemporary r&b,2016,0,1,0,0,11,1,3,1,79,negative
